Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link	ADHD_gene	parkinsons_gene	stuttering_gene	tic_gene
A2M	Alpha-2-Macroglobulin	Protein Coding	P01023	59	GC12M009067	5.62537240982056	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M	False	True	False	False
A2ML1	Alpha-2-Macroglobulin Like 1	Protein Coding	A8K2U0	51	GC12P008822	8.37025165557861	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2ML1	True	False	False	False
A3GALT2	Alpha 1,3-Galactosyltransferase 2	Protein Coding	U3KPV4	31	GC01M033306	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A3GALT2	True	False	False	False
AAAS	Aladin WD Repeat Nucleoporin	Protein Coding	Q9NRG9	51	GC12M053307	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAAS	True	True	False	False
AADAC	Arylacetamide Deacetylase	Protein Coding	P22760	54	GC03P151813	2.62477087974548	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AADAC	True	False	False	True
AADAT	Aminoadipate Aminotransferase	Protein Coding	Q8N5Z0	52	GC04M170060	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AADAT	False	True	False	True
AAK1	AP2 Associated Kinase 1	Protein Coding	Q2M2I8	54	GC02M069459	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAK1	False	True	False	False
AANAT	Aralkylamine N-Acetyltransferase	Protein Coding	Q16613	52	GC17P076453	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AANAT	True	True	False	False
AARS1	Alanyl-TRNA Synthetase 1	Protein Coding	P49588	56	GC16M075123	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AARS1	True	True	False	False
AARS2	Alanyl-TRNA Synthetase 2, Mitochondrial	Protein Coding	Q5JTZ9	57	GC06M106778	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AARS2	True	False	True	False
AASDH	Aminoadipate-Semialdehyde Dehydrogenase	Protein Coding	Q4L235	45	GC04M056340	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASDH	True	False	False	False
AASDHPPT	Aminoadipate-Semialdehyde Dehydrogenase-Phosphopantetheinyl Transferase	Protein Coding	Q9NRN7	46	GC11P106075	2.79092741012573	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASDHPPT	True	False	False	False
AASS	Aminoadipate-Semialdehyde Synthase	Protein Coding	Q9UDR5	55	GC07M122073	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASS	True	True	False	False
AATF	Apoptosis Antagonizing Transcription Factor	Protein Coding	Q9NY61	52	GC17P036948	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATF	False	True	False	False
AATK	Apoptosis Associated Tyrosine Kinase	Protein Coding	Q6ZMQ8	50	GC17M098221	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATK	True	False	False	False
ABALON	Apoptotic BCL2L1-Antisense Long Non-Coding RNA	RNA Gene		18	GC20P031721	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABALON	False	True	False	False
ABAT	4-Aminobutyrate Aminotransferase	Protein Coding	P80404	58	GC16P008674	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABAT	True	True	False	True
ABCA1	ATP Binding Cassette Subfamily A Member 1	Protein Coding	O95477	62	GC09M104781	3.15902638435364	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1	True	True	False	True
ABCA10	ATP Binding Cassette Subfamily A Member 10	Protein Coding	Q8WWZ4	44	GC17M069147	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA10	True	False	False	False
ABCA12	ATP Binding Cassette Subfamily A Member 12	Protein Coding	Q86UK0	52	GC02M214931	2.13314008712769	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA12	True	False	False	False
ABCA13	ATP Binding Cassette Subfamily A Member 13	Protein Coding	Q86UQ4	48	GC07P048171	2.26580476760864	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA13	True	False	False	True
ABCA2	ATP Binding Cassette Subfamily A Member 2	Protein Coding	Q9BZC7	55	GC09M137007	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA2	True	True	False	False
ABCA3	ATP Binding Cassette Subfamily A Member 3	Protein Coding	Q99758	62	GC16M002275	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA3	True	False	False	False
ABCA4	ATP Binding Cassette Subfamily A Member 4	Protein Coding	P78363	58	GC01M093992	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA4	True	False	False	False
ABCA5	ATP Binding Cassette Subfamily A Member 5	Protein Coding	Q8WWZ7	55	GC17M069244	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA5	True	True	False	False
ABCA7	ATP Binding Cassette Subfamily A Member 7	Protein Coding	Q8IZY2	58	GC19P151373	3.9130117893219	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA7	True	True	False	False
ABCA8	ATP Binding Cassette Subfamily A Member 8	Protein Coding	O94911	48	GC17M068867	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA8	True	False	False	False
ABCB1	ATP Binding Cassette Subfamily B Member 1	Protein Coding	P08183	64	GC07M087504	7.39184284210205	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1	True	True	False	True
ABCB10	ATP Binding Cassette Subfamily B Member 10	Protein Coding	Q9NRK6	53	GC01M229516	10.7792272567749	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB10	True	False	False	True
ABCB11	ATP Binding Cassette Subfamily B Member 11	Protein Coding	O95342	60	GC02M168922	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB11	True	False	False	False
ABCB4	ATP Binding Cassette Subfamily B Member 4	Protein Coding	P21439	60	GC07M087365	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB4	True	False	False	False
ABCB5	ATP Binding Cassette Subfamily B Member 5	Protein Coding	Q2M3G0	55	GC07P020615	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB5	True	False	False	False
ABCB6	ATP Binding Cassette Subfamily B Member 6 (LAN Blood Group)	Protein Coding	Q9NP58	57	GC02M219209	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB6	True	False	False	False
ABCB7	ATP Binding Cassette Subfamily B Member 7	Protein Coding	O75027	57	GC0XM075053	15.0826091766357	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB7	True	True	False	False
ABCB8	ATP Binding Cassette Subfamily B Member 8	Protein Coding	Q9NUT2	52	GC07P151028	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB8	True	False	False	False
ABCB9	ATP Binding Cassette Subfamily B Member 9	Protein Coding	Q9NP78	50	GC12M124717	3.27969026565552	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB9	True	False	False	False
ABCC1	ATP Binding Cassette Subfamily C Member 1 (ABCC1 Blood Group)	Protein Coding	P33527	61	GC16P015949	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC1	True	True	True	False
ABCC10	ATP Binding Cassette Subfamily C Member 10	Protein Coding	Q5T3U5	51	GC06P043427	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC10	True	False	False	False
ABCC11	ATP Binding Cassette Subfamily C Member 11	Protein Coding	Q96J66	54	GC16M051499	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC11	True	False	False	False
ABCC12	ATP Binding Cassette Subfamily C Member 12	Protein Coding	Q96J65	50	GC16M051498	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC12	True	False	False	False
ABCC2	ATP Binding Cassette Subfamily C Member 2	Protein Coding	Q92887	61	GC10P099782	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2	True	True	False	False
ABCC3	ATP Binding Cassette Subfamily C Member 3	Protein Coding	O15438	58	GC17P050634	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC3	False	True	False	False
ABCC4	ATP Binding Cassette Subfamily C Member 4 (PEL Blood Group)	Protein Coding	O15439	58	GC13M095019	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC4	True	True	False	False
ABCC5	ATP Binding Cassette Subfamily C Member 5	Protein Coding	O15440	55	GC03M183919	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC5	True	True	False	False
ABCC6	ATP Binding Cassette Subfamily C Member 6	Protein Coding	O95255	60	GC16M050398	3.05096960067749	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC6	True	False	False	False
ABCC8	ATP Binding Cassette Subfamily C Member 8	Protein Coding	Q09428	59	GC11M017392	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8	True	True	False	False
ABCC9	ATP Binding Cassette Subfamily C Member 9	Protein Coding	O60706	58	GC12M021797	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC9	True	True	False	True
ABCD1	ATP Binding Cassette Subfamily D Member 1	Protein Coding	P33897	59	GC0XP153724	7.52809476852417	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD1	True	False	False	False
ABCD1P1	ATP Binding Cassette Subfamily D Member 1 Pseudogene 1	Pseudogene		10	GC02M092957	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD1P1	True	False	False	False
ABCD2	ATP Binding Cassette Subfamily D Member 2	Protein Coding	Q9UBJ2	54	GC12M039530	1.71298503875732	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD2	True	False	False	False
ABCD3	ATP Binding Cassette Subfamily D Member 3	Protein Coding	P28288	57	GC01P094385	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD3	True	True	False	False
ABCD4	ATP Binding Cassette Subfamily D Member 4	Protein Coding	O14678	54	GC14M074285	3.05096960067749	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD4	True	False	False	False
ABCE1	ATP Binding Cassette Subfamily E Member 1	Protein Coding	P61221	51	GC04P145097	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCE1	True	True	False	False
ABCF1	ATP Binding Cassette Subfamily F Member 1	Protein Coding	Q8NE71	53	GC06P030571	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCF1	True	False	False	False
ABCF2	ATP Binding Cassette Subfamily F Member 2	Protein Coding	Q9UG63	51	GC07M151211	1.07545459270477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCF2	True	True	False	False
ABCF3	ATP Binding Cassette Subfamily F Member 3	Protein Coding	Q9NUQ8	48	GC03P184186	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCF3	True	True	False	False
ABCG1	ATP Binding Cassette Subfamily G Member 1	Protein Coding	P45844	55	GC21P042199	2.13314008712769	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG1	True	False	False	False
ABCG2	ATP Binding Cassette Subfamily G Member 2 (JR Blood Group)	Protein Coding	Q9UNQ0	62	GC04M088090	3.08620047569275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2	True	True	False	True
ABCG4	ATP Binding Cassette Subfamily G Member 4	Protein Coding	Q9H172	53	GC11P125229	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG4	True	False	False	False
ABCG5	ATP Binding Cassette Subfamily G Member 5	Protein Coding	Q9H222	58	GC02M043806	2.13314008712769	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG5	True	False	False	False
ABCG8	ATP Binding Cassette Subfamily G Member 8	Protein Coding	Q9H221	54	GC02P045317	2.13314008712769	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG8	True	False	False	False
ABHD1	Abhydrolase Domain Containing 1	Protein Coding	Q96SE0	42	GC02P027123	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD1	True	False	False	False
ABHD10	Abhydrolase Domain Containing 10, Depalmitoylase	Protein Coding	Q9NUJ1	46	GC03P111997	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD10	True	True	False	False
ABHD11	Abhydrolase Domain Containing 11	Protein Coding	Q8NFV4	46	GC07M073736	2.74776268005371	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD11	True	False	False	False
