method	Symbol	Author
Denovo Trios	FLT3	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	SPTBN1	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	IREB2	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	PRPF8	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	CHD4	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	UNC13A	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	EIF2AK4	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	GIT1	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	ADGRB1	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	TUT4	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	PLXNA1	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	TRIO	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	NCDN	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	ZBTB7A	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	BAI1	De novo protein-coding gene variants in developmental stuttering
Denovo Trios	ZCCHC11	De novo protein-coding gene variants in developmental stuttering
