Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P124078","41.7623291015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"CHD8","Chromodomain Helicase DNA Binding Protein 8","Protein Coding","Q9HCK8","56","GC14M021385","38.0461235046387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD8"
"MECP2","Methyl-CpG Binding Protein 2","Protein Coding","P51608","60","GC0XM154021","37.5492973327637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECP2"
"AUTS2","Activator Of Transcription And Developmental Regulator AUTS2","Protein Coding","Q8WXX7","53","GC07P069598","37.223762512207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS2"
"ADNP","Activity Dependent Neuroprotector Homeobox","Protein Coding","Q9H2P0","55","GC20M050888","36.4080429077148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADNP"
"CNTNAP2","Contactin Associated Protein 2","Protein Coding","Q9UHC6","58","GC07P146116","35.8693542480469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTNAP2"
"SHANK2","SH3 And Multiple Ankyrin Repeat Domains 2","Protein Coding","Q9UPX8","53","GC11M070467","30.6602878570557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHANK2"
"TBR1","T-Box Brain Transcription Factor 1","Protein Coding","Q16650","54","GC02P161416","30.6145172119141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBR1"
"CUL3","Cullin 3","Protein Coding","Q13618","60","GC02M224470","30.4068374633789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL3"
"NLGN4X","Neuroligin 4 X-Linked","Protein Coding","Q8N0W4","55","GC0XM005840","28.8111476898193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN4X"
"NLGN3","Neuroligin 3","Protein Coding","Q9NZ94","57","GC0XP071144","27.4597320556641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN3"
"PTCHD1","Patched Domain Containing 1","Protein Coding","Q96NR3","47","GC0XP023334","26.9901237487793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCHD1"
"SLC35A3","Solute Carrier Family 35 Member A3","Protein Coding","Q9Y2D2","52","GC01P100095","26.7174129486084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35A3"
"SCN2A","Sodium Voltage-Gated Channel Alpha Subunit 2","Protein Coding","Q99250","61","GC02P165194","25.4241199493408","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN2A"
"TRRAP","Transformation/Transcription Domain Associated Protein","Protein Coding","Q9Y4A5","57","GC07P098877","24.8110160827637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRRAP"
"SHANK3","SH3 And Multiple Ankyrin Repeat Domains 3","Protein Coding","Q9BYB0","52","GC22P092484","24.3135318756104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHANK3"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P120169","22.595796585083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"RPL10","Ribosomal Protein L10","Protein Coding","P27635","57","GC0XP154389","21.4604454040527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL10"
"CNOT3","CCR4-NOT Transcription Complex Subunit 3","Protein Coding","O75175","54","GC19P153091","21.3182563781738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT3"
"TMLHE","Trimethyllysine Hydroxylase, Epsilon","Protein Coding","Q9NVH6","54","GC0XM155489","21.2892093658447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMLHE"
"POGZ","Pogo Transposable Element Derived With ZNF Domain","Protein Coding","Q7Z3K3","52","GC01M151402","21.1504459381104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POGZ"
"SLC9A9","Solute Carrier Family 9 Member A9","Protein Coding","Q8IVB4","51","GC03M143265","21.0912170410156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A9"
"NRXN1","Neurexin 1","Protein Coding","Q9ULB1","61","GC02M049918","21.0274524688721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN1"
"HERC2","HECT And RLD Domain Containing E3 Ubiquitin Protein Ligase 2","Protein Coding","O95714","57","GC15M028111","20.8076953887939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HERC2"
"UBE3A","Ubiquitin Protein Ligase E3A","Protein Coding","Q05086","61","GC15M025333","20.2986259460449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3A"
"CACNA1C","Calcium Voltage-Gated Channel Subunit Alpha1 C","Protein Coding","Q13936","62","GC12P001970","20.0981616973877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C"
"AUTS13","Autism, Susceptibility To, 13","Genetic Locus","","4","GC12U901018","19.6194629669189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS13"
"AUTS8","Autism, Susceptibility To, 8","Genetic Locus","","5","GC03U901697","19.6034927368164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS8"
"NLGN1","Neuroligin 1","Protein Coding","Q8N2Q7","58","GC03P173399","19.3735523223877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN1"
"SYNGAP1","Synaptic Ras GTPase Activating Protein 1","Protein Coding","Q96PV0","60","GC06P181961","19.2572154998779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNGAP1"
"TSC1","TSC Complex Subunit 1","Protein Coding","Q92574","61","GC09M132891","19.1687793731689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"GABRB3","Gamma-Aminobutyric Acid Type A Receptor Subunit Beta3","Protein Coding","P28472","62","GC15M026543","19.0874099731445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRB3"
"SCN1A","Sodium Voltage-Gated Channel Alpha Subunit 1","Protein Coding","P35498","61","GC02M165989","19.0223026275635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN1A"
"SNRPN","Small Nuclear Ribonucleoprotein Polypeptide N","Protein Coding","P63162","57","GC15P024823","18.7771835327148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPN"
"AUTS3","Autism, Susceptibility To, 3","Genetic Locus","","4","GC13U900305","18.6894931793213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS3"
"AUTS6","Autism, Susceptibility To, 6","Genetic Locus","","4","GC17U900574","18.3577518463135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS6"
"TCF20","Transcription Factor 20","Protein Coding","Q9UGU0","50","GC22M042160","18.3438758850098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF20"
"GRIN2B","Glutamate Ionotropic Receptor NMDA Type Subunit 2B","Protein Coding","Q13224","65","GC12M013437","18.3257083892822","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2B"
"AUTS1","Autism, Susceptibility To, 1","Genetic Locus","","5","GC07U990140","18.1022090911865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS1"
"AUTS11","Autism, Susceptibility To, 11","Genetic Locus","","3","GC01U902310","17.7732200622559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS11"
"AUTS12","Autism, Susceptibility To, 12","Genetic Locus","","3","GC21U900413","17.7732200622559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS12"
"AUTS7","Autism, Susceptibility To, 7","Genetic Locus","","3","GC17U901159","17.7732200622559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUTS7"
"SETD2","SET Domain Containing 2, Histone Lysine Methyltransferase","Protein Coding","Q9BYW2","60","GC03M047033","17.7189998626709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD2"
"FMR1","Fragile X Messenger Ribonucleoprotein 1","Protein Coding","Q06787","57","GC0XP148000","17.6492786407471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMR1"
"RELN","Reelin","Protein Coding","P78509","57","GC07M103471","17.5631866455078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELN"
"CDKL5","Cyclin Dependent Kinase Like 5","Protein Coding","O76039","56","GC0XP018425","17.1454811096191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKL5"
"MBD5","Methyl-CpG Binding Domain Protein 5","Protein Coding","Q9P267","50","GC02P154649","17.0876636505127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD5"
