Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"SLITRK1","SLIT And NTRK Like Family Member 1","Protein Coding","Q96PX8","54","GC13M083877","30.8857269287109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLITRK1"
"HDC","Histidine Decarboxylase","Protein Coding","P19113","58","GC15M050241","30.1889915466309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDC"
"DRD4","Dopamine Receptor D4","Protein Coding","P21917","58","GC11P020260","15.0693988800049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD4"
"COMT","Catechol-O-Methyltransferase","Protein Coding","P21964","64","GC22P019941","12.3602046966553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"DRD2","Dopamine Receptor D2","Protein Coding","P14416","62","GC11M113409","11.9382410049438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2"
"HTR2A","5-Hydroxytryptamine Receptor 2A","Protein Coding","P28223","61","GC13M046831","11.5303840637207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2A"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","Q01959","63","GC05M001392","11.4755792617798","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"NRXN1","Neurexin 1","Protein Coding","Q9ULB1","61","GC02M049918","10.4815511703491","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN1"
"DRD5","Dopamine Receptor D5","Protein Coding","P21918","60","GC04P030007","10.2251434326172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD5"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","62","GC11M027654","9.89057064056396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"DRD3","Dopamine Receptor D3","Protein Coding","P35462","57","GC03M114128","9.88396835327148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD3"
"IMMP2L","Inner Mitochondrial Membrane Peptidase Subunit 2","Protein Coding","Q96T52","49","GC07M110686","9.78798580169678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMMP2L"
