Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"DRD4","Dopamine Receptor D4","Protein Coding","P21917","58","GC11P020260","132.164123535156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD4"
"DRD5","Dopamine Receptor D5","Protein Coding","P21918","60","GC04P030007","82.2110061645508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD5"
"ADHD1","Attention Deficit-Hyperactivity Disorder, Susceptibility To, 1","Genetic Locus","","8","GC16U900488","79.3470077514648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADHD1"
"ADHD2","Attention Deficit-Hyperactivity Disorder, Susceptibility To, 2","Genetic Locus","","7","GC17U900544","77.3039016723633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADHD2"
"ADHD3","Attention Deficit-Hyperactivity Disorder, Susceptibility To, 3","Genetic Locus","","7","GC06U900728","77.3039016723633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADHD3"
"ADHD4","Attention Deficit-Hyperactivity Disorder, Susceptibility To, 4","Genetic Locus","","7","GC05U900518","77.3039016723633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADHD4"
"GNB5","G Protein Subunit Beta 5","Protein Coding","O14775","57","GC15M163582","70.7012252807617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB5"
"ADGRL1","Adhesion G Protein-Coupled Receptor L1","Protein Coding","O94910","53","GC19M014147","70.4538192749023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRL1"
"MECP2","Methyl-CpG Binding Protein 2","Protein Coding","P51608","60","GC0XM154021","69.8070373535156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECP2"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","Q01959","63","GC05M001392","63.8683204650879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"ADGRL1-AS1","ADGRL1 Antisense RNA 1","RNA Gene","","18","GC19P151988","62.8093338012695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRL1-AS1"
"MAP1B","Microtubule Associated Protein 1B","Protein Coding","P46821","58","GC05P072107","61.5207595825195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1B"
"TBR1","T-Box Brain Transcription Factor 1","Protein Coding","Q16650","54","GC02P161416","60.7196578979492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBR1"
"SCAPER","S-Phase Cyclin A Associated Protein In The ER","Protein Coding","Q9BY12","47","GC15M076347","59.8460502624512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAPER"
"TCF20","Transcription Factor 20","Protein Coding","Q9UGU0","50","GC22M042160","57.0771484375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF20"
"FERRY3","FERRY Endosomal RAB5 Effector Complex Subunit 3","Protein Coding","Q9NQ89","43","GC12M036237","55.7007865905762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FERRY3"
"CDH2","Cadherin 2","Protein Coding","P19022","64","GC18M038314","55.2123413085938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH2"
"COMT","Catechol-O-Methyltransferase","Protein Coding","P21964","64","GC22P019941","53.6596832275391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"ADHD5","Attention Deficit-Hyperactivity Disorder, Susceptibility To, 5","Genetic Locus","","6","GC02U901597","53.2186317443848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADHD5"
"ADHD6","Attention Deficit-Hyperactivity Disorder, Susceptibility To, 6","Genetic Locus","","6","GC13U900588","53.2186317443848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADHD6"
"VPS13B","Vacuolar Protein Sorting 13 Homolog B","Protein Coding","Q7Z7G8","52","GC08P099174","53.1865043640137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13B"
"HIVEP1","HIVEP Zinc Finger 1","Protein Coding","P15822","47","GC06P012899","52.7407646179199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIVEP1"
"CAPRIN1","Cell Cycle Associated Protein 1","Protein Coding","Q14444","51","GC11P034051","52.154914855957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPRIN1"
