Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"LRRK2","Leucine Rich Repeat Kinase 2","Protein Coding","Q5S007","62","GC12P040196","68.511589050293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK2"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","62","GC06M161348","64.5916290283203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"SNCA","Synuclein Alpha","Protein Coding","P37840","65","GC04M089724","63.594596862793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCA"
"GBA1","Glucosylceramidase Beta 1","Protein Coding","P04062","62","GC01M167453","56.362060546875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","Q99497","60","GC01P075179","49.0738754272461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7"
"PINK1","PTEN Induced Kinase 1","Protein Coding","Q9BXM7","60","GC01P076060","48.9723663330078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINK1"
"LOC106627981","GBA Recombination Region","Functional Element","","11","GC01P155233","45.3149452209473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106627981"
"MAPT","Microtubule Associated Protein Tau","Protein Coding","P10636","62","GC17P045894","41.5641288757324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT"
"NR4A2","Nuclear Receptor Subfamily 4 Group A Member 2","Protein Coding","P43354","59","GC02M156324","39.9628639221191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A2"
"VPS13C","Vacuolar Protein Sorting 13 Homolog C","Protein Coding","Q709C8","45","GC15M061852","36.2558135986328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13C"
"UCHL1","Ubiquitin C-Terminal Hydrolase L1","Protein Coding","P09936","65","GC04P041256","35.925178527832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCHL1"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","Q01959","63","GC05M001392","35.2934074401855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"SNCAIP","Synuclein Alpha Interacting Protein","Protein Coding","Q9Y6H5","57","GC05P122311","34.2154235839844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCAIP"
